task,task_type,model,metric,random_mean,scaffold_mean,gap,gap_ci95_low,gap_ci95_high,welch_t,welch_p,n_random,n_scaffold,scaffold_worse
esol,reg,mat_nograph,rmse,0.4108025766165014,0.5242093975065565,-0.1134068208900551,-0.176491529534543,-0.050322112245567194,-3.6365719490005994,0.0008002539793864826,25,25,True
esol,reg,mat_nograph,mae,0.3133968948353472,0.4119367204608537,-0.0985398256255065,-0.1551515561756291,-0.041928095075383906,-3.5291833182441636,0.0011525955807994083,25,25,True
esol,reg,mat_nograph,r2,0.8240305684111989,0.6095735995799949,0.21445696883120402,0.04291557736597809,0.38599836029643,2.570493864113867,0.016270022050786297,25,25,True
esol,reg,mat_nodistance,rmse,0.39094930772686887,0.4931730560647671,-0.10222374833789821,-0.13024099876367784,-0.07420649791211859,-7.348884123282838,3.124594238182628e-09,25,25,True
esol,reg,mat_nodistance,mae,0.29764093219607346,0.38333746008100184,-0.08569652788492838,-0.11077146455728754,-0.060621591212569215,-6.900178542545865,2.1806906734878077e-08,25,25,True
esol,reg,mat_nodistance,r2,0.8442001328914023,0.7094000874782661,0.13480004541313617,0.06324051921814705,0.2063595716081253,3.8753773096440867,0.0006617399485988563,25,25,True
esol,reg,mat_noattention,rmse,0.45296068378080834,0.5103342163223402,-0.05737353254153188,-0.09063126237264768,-0.02411580271041608,-3.476228266869637,0.0011519230261001238,25,25,True
esol,reg,mat_noattention,mae,0.34440526386323095,0.38767446663884336,-0.043269202775612414,-0.06954668316529525,-0.016991722385929577,-3.3134425021114473,0.0017894508617508624,25,25,True
esol,reg,mat_noattention,r2,0.7902834118356512,0.6967942983146338,0.09348911352101741,0.02439577380843483,0.1625824532336,2.7717106191002245,0.00980110649719667,25,25,True
esol,reg,hybrid,rmse,0.4912599761463906,0.5895887978649376,-0.09832882171854695,-0.13568591991844978,-0.06097172351864414,-5.3375523614015306,5.285756596019969e-06,25,25,True
esol,reg,hybrid,mae,0.37045029020907166,0.4563548975544806,-0.08590460734540895,-0.11941425488071922,-0.052394959810098674,-5.222835523217711,1.0530257463767258e-05,25,25,True
esol,reg,hybrid,r2,0.7540566558751146,0.5716174111221634,0.18243924475295126,0.05319887890839464,0.3116796105975079,2.9081859865051083,0.007547311073187196,25,25,True
freesolv,reg,rf,rmse,0.5884149249147209,0.6479471101082875,-0.05953218519356662,-0.1285345247275707,0.00947015434043745,-1.7496180678422772,0.08868686174115009,25,25,True
freesolv,reg,rf,mae,0.3941559241508743,0.41644254420338755,-0.02228662005251325,-0.05135708589437203,0.0067838457893455335,-1.5615411494471527,0.12822376561535953,25,25,True
freesolv,reg,rf,r2,0.6463604319081564,0.5654357720888519,0.08092465981930452,0.029575024884187374,0.13227429475442168,3.177843066262686,0.0027416215212975725,25,25,True
freesolv,reg,svm,rmse,0.47135323739144735,0.5767086858712471,-0.10535544847979977,-0.16723843086943174,-0.04347246609016779,-3.450546767934309,0.0014232500666571575,25,25,True
freesolv,reg,svm,mae,0.2968502365785138,0.36455902956362024,-0.06770879298510646,-0.09463486017890901,-0.0407827257913039,-5.111047802689079,1.2449829857992571e-05,25,25,True
freesolv,reg,svm,r2,0.7734227463924715,0.6560979222417292,0.1173248241507423,0.0788949319579497,0.1557547163435349,6.165784161027511,2.524341631198637e-07,25,25,True
estrogen-beta,clf,gcn,roc_auc,0.9125133367917155,0.882584617570941,0.029928719220774558,0.016872187702021355,0.04298525073952776,4.6558989005350995,4.642535062502872e-05,25,25,True
estrogen-beta,clf,gcn,pr_auc,0.9358880726739167,0.9034807786237511,0.032407294050165625,0.013345292420554676,0.051469295679776574,3.485046676453691,0.0016644814585088877,25,25,True
estrogen-beta,clf,gcn,f1,0.8654828422156265,0.8386578344138137,0.02682500780181285,0.005944870810581496,0.047705144793044205,2.6046986842604065,0.013242380093094573,25,25,True
estrogen-beta,clf,mat,roc_auc,0.8928898937880316,0.8521335868986831,0.040756306889348504,0.0249630941874384,0.056549519591258604,5.235466248339418,7.4868074722472684e-06,25,25,True
estrogen-beta,clf,mat,pr_auc,0.9170221380360022,0.8751069633551214,0.041915174680880796,0.01700525591563212,0.06682509344612947,3.447121192133414,0.0018118759291397045,25,25,True
estrogen-beta,clf,mat,f1,0.862741796799789,0.8027330002042473,0.0600087965955417,0.021305701100428072,0.09871189209065534,3.190181174379933,0.003748650373808105,25,25,True
estrogen-beta,clf,mat_nograph,roc_auc,0.8781014677899919,0.845431691956035,0.032669775833956916,0.017271057187018976,0.048068494480894855,4.269090603599135,9.558364562613438e-05,25,25,True
estrogen-beta,clf,mat_nograph,pr_auc,0.904503012600381,0.872760141327323,0.03174287127305797,0.007838165979261229,0.05564757656685471,2.6996560279918795,0.010779992233150393,25,25,True
estrogen-beta,clf,mat_nograph,f1,0.8428270685847511,0.7934469240454066,0.04938014453934447,0.013141767647771217,0.08561852143091772,2.78888392926099,0.009316118133427496,25,25,True
estrogen-beta,clf,mat_noattention,roc_auc,0.8522576830497088,0.83330347519413,0.018954207855578886,0.002337841073846717,0.03557057463731106,2.305984177391158,0.026417153559167607,25,25,True
estrogen-beta,clf,mat_noattention,pr_auc,0.8556504759303682,0.8422248808965894,0.013425595033778825,-0.012301731280468159,0.03915292134802581,1.0635092480823658,0.2956155538883544,25,25,True
estrogen-beta,clf,mat_noattention,f1,0.8357609734562932,0.8180369054221889,0.017724068034104312,-0.009279960854769669,0.04472809692297829,1.3357742543699904,0.1908384465724096,25,25,True
estrogen-beta,clf,mat_nodistance,roc_auc,0.8882608119931221,0.858320013731049,0.029940798262073076,0.016677044404840347,0.04320455211930581,4.540913322703625,3.883322120067376e-05,25,25,True
estrogen-beta,clf,mat_nodistance,pr_auc,0.9126443362854217,0.8871610515961298,0.025483284689291952,0.005369100353558212,0.04559746902502569,2.572217024169914,0.01451805111310409,25,25,True
estrogen-beta,clf,mat_nodistance,f1,0.8542200209832739,0.8078117901594305,0.04640823082384338,0.009839161136938751,0.082977300510748,2.5918069342802466,0.014610033154693558,25,25,True
estrogen-beta,clf,hybrid,roc_auc,0.9219661232115854,0.8886666472221829,0.03329947598940253,0.022742637973215067,0.04385631400558999,6.393163550093023,1.9194668048920882e-07,25,25,True
estrogen-beta,clf,hybrid,pr_auc,0.9460388843507491,0.9158423135393845,0.03019657081136462,0.016389512282121543,0.0440036293406077,4.4760989070388435,0.00011177133692461725,25,25,True
estrogen-beta,clf,hybrid,f1,0.8809113411611529,0.8432002131940809,0.03771112796707199,0.014956454584354548,0.06046580134978943,3.4056247229194994,0.0021420616746043145,25,25,True
freesolv,reg,gcn,rmse,0.3383197652610324,0.4262245107989089,-0.08790474553787647,-0.13272655301069708,-0.04308293806505586,-3.9908374346682636,0.0003474783264359156,25,25,True
freesolv,reg,gcn,mae,0.2321187541662642,0.2901137240002283,-0.05799496983396407,-0.0848526920620617,-0.031137247605866444,-4.376252854291868,9.599829955060993e-05,25,25,True
freesolv,reg,gcn,r2,0.8810651426711886,0.8069899214949839,0.07407522117620469,0.04501947849993218,0.10313096385247719,5.166142635728575,8.497687377338375e-06,25,25,True
freesolv,reg,mat,rmse,0.3685804545577206,0.4314877542857346,-0.06290729972801401,-0.09975272736492058,-0.026061872091107434,-3.445824849481831,0.00130746472708733,25,25,True
freesolv,reg,mat,mae,0.2641047468079811,0.29396559825113694,-0.029860851443155867,-0.05337863518199409,-0.006343067704317647,-2.5576085460444844,0.01399314664694252,25,25,True
freesolv,reg,mat,r2,0.8585074805920762,0.7930875708862081,0.06541990970586808,0.02706304266760086,0.10377677674413531,3.463263321254191,0.001434123600964938,25,25,True
freesolv,reg,mat_nograph,rmse,0.3759514864682525,0.44550186244804046,-0.06955037597978797,-0.11270212173051253,-0.02639863022906342,-3.2479933830793164,0.002223909814617392,25,25,True
freesolv,reg,mat_nograph,mae,0.2645525202331317,0.30101253003582973,-0.036460009802698035,-0.0649388659461038,-0.007981153659292264,-2.576396231234558,0.0132286427303117,25,25,True
freesolv,reg,mat_nograph,r2,0.8522819693242346,0.7812119395480168,0.07107002977621779,0.02770310062533611,0.11443695892709947,3.321667211188161,0.0020360077900992896,25,25,True
freesolv,reg,mat_nodistance,rmse,0.37988215659402164,0.4240876168094797,-0.04420546021545807,-0.08433818749411173,-0.004072732936804414,-2.21664041827787,0.03158684477363691,25,25,True
freesolv,reg,mat_nodistance,mae,0.27130555607958484,0.2889446493894375,-0.017639093309852638,-0.04249546479202796,0.0072172781723226845,-1.4271013619461128,0.16007156210804332,25,25,True
freesolv,reg,mat_nodistance,r2,0.8494052765593005,0.8026510513214977,0.046754225237802816,0.011215075056915338,0.08229337541869029,2.653871555381259,0.011142009576088895,25,25,True
freesolv,reg,mat_noattention,rmse,0.4576918850427463,0.4768650815335898,-0.01917319649084348,-0.07004401216572542,0.031697619184038454,-0.7648357566922076,0.44943781591892906,25,25,True
freesolv,reg,mat_noattention,mae,0.3365992790761243,0.35149987958579226,-0.01490060050966796,-0.049216873737456215,0.019415672718120294,-0.8769372230576191,0.3856349878491614,25,25,True
freesolv,reg,mat_noattention,r2,0.7793317394398878,0.7564847184220587,0.022847021017829094,-0.024677763421827446,0.07037180545748564,0.9674731198301573,0.3383275067882102,25,25,True
freesolv,reg,hybrid,rmse,0.37864606608688883,0.4374831715181513,-0.05883710543126247,-0.10280438407766364,-0.014869826784861304,-2.7254951569293357,0.010310016344495174,25,25,True
freesolv,reg,hybrid,mae,0.2561773607834319,0.28170623513411946,-0.02552887435068757,-0.04919789536570229,-0.0018598533356728418,-2.2045395647751276,0.035452116117548636,25,25,True
freesolv,reg,hybrid,r2,0.8532541182346789,0.7961799119328425,0.05707420630183635,0.027807509703294823,0.08634090290037788,3.9737476471431483,0.00038153500148728465,25,25,True
metstab-high,clf,svm,roc_auc,0.903791034365415,0.8612519534282095,0.04253908093720549,0.029464876837420533,0.05561328503699044,6.548087054054975,4.2245663115601483e-08,25,25,True
metstab-high,clf,svm,pr_auc,0.5673313192484971,0.4653108402701146,0.10202047897838251,0.06162726989852355,0.14241368805824148,5.085649736182155,6.770080053077872e-06,25,25,True
metstab-high,clf,svm,f1,0.5926533951907543,0.49557370614937357,0.09707968904138076,0.06674578304996401,0.1274135950327975,6.465278817886499,9.848805639583759e-08,25,25,True
metstab-high,clf,rf,roc_auc,0.9015530053346081,0.870097278202918,0.03145572713169009,0.016649230740525676,0.04626222352285451,4.292059747876367,0.000107351414954934,25,25,True
metstab-high,clf,rf,pr_auc,0.5994334125169613,0.4911792556871903,0.10825415682977096,0.06520332408644351,0.1513049895730984,5.095464924633238,1.0567995195942664e-05,25,25,True
metstab-high,clf,rf,f1,0.5041952854321677,0.4436930829937349,0.06050220243843285,0.011640670973865112,0.10936373390300058,2.511603003024379,0.016663255036429618,25,25,True
metstab-low,clf,svm,roc_auc,0.8743698236444044,0.8176893024785378,0.05668052116586664,0.044120685704003765,0.06924035662772951,9.181536626873612,1.3168600404930106e-10,25,25,True
metstab-low,clf,svm,pr_auc,0.8844254400001172,0.8312057031171186,0.053219736882998636,0.03643808120563578,0.07000139256036149,6.445294925174328,2.306443532400241e-07,25,25,True
metstab-low,clf,svm,f1,0.8250537332875603,0.7847849116037823,0.04026882168377799,0.0276398034171544,0.05289783995040158,6.458435206936429,1.439980156124002e-07,25,25,True
metstab-low,clf,rf,roc_auc,0.8732226369558964,0.8101017558589547,0.0631208810969417,0.050420406619909305,0.07582135557397408,10.121261779931269,1.584429408287695e-11,25,25,True
metstab-low,clf,rf,pr_auc,0.8836722456154611,0.823118431380376,0.0605538142350851,0.044395309500896395,0.0767123189692738,7.661297416056736,1.783725562798123e-08,25,25,True
metstab-low,clf,rf,f1,0.8247758957959046,0.7769193494344089,0.04785654636149572,0.03591605873359743,0.05979703398939402,8.139578049527508,1.4907803978033803e-09,25,25,True
metstab-high,clf,gcn,roc_auc,0.8475893315040162,0.7740130719588413,0.07357625954517488,0.04453535161205016,0.1026171674782996,5.120705734916828,8.081003980985806e-06,25,25,True
metstab-high,clf,gcn,pr_auc,0.48649917222648237,0.34368017169069753,0.14281900053578483,0.09399005174468958,0.1916479493268801,5.885072112312096,4.096517478764211e-07,25,25,True
metstab-high,clf,gcn,f1,0.4059905448925976,0.2121806690537763,0.1938098758388213,0.11203228372792239,0.2755874679497202,4.765693514023188,1.7961137868397576e-05,25,25,True
metstab-high,clf,mat,roc_auc,0.7909919789124384,0.751463304548002,0.03952867436443641,0.0032458889984556608,0.07581145973041717,2.190807508041655,0.0333799621719837,25,25,True
metstab-high,clf,mat,pr_auc,0.4118741837327057,0.3276098610577084,0.08426432267499728,0.027658051280857347,0.1408705940691372,2.994062191171513,0.004365646847681036,25,25,True
metstab-high,clf,mat,f1,0.30775875086741555,0.19869216306766854,0.10906658779974701,0.03286391031432409,0.18526926528516993,2.885453369935227,0.006059769861207177,25,25,True
metstab-high,clf,mat_nograph,roc_auc,0.777501905988823,0.7355850412340064,0.041916864754816596,0.008233754819782356,0.07559997468985083,2.5049945687307758,0.015852982897736363,25,25,True
metstab-high,clf,mat_nograph,pr_auc,0.3871699536955188,0.30488813794576886,0.08228181574974996,0.03049182030470407,0.13407181119479586,3.1944361315194096,0.002476437738521584,25,25,True
metstab-high,clf,mat_nograph,f1,0.24710710621118806,0.204560978797098,0.04254612741409006,-0.04182245494881158,0.1269147097769917,1.0153124817347547,0.31531232870580456,25,25,True
metstab-high,clf,mat_noattention,roc_auc,0.7335122542342721,0.6963569186962559,0.0371553355380162,-0.005306458932535299,0.0796171300085677,1.7596092841297313,0.08488052165297698,25,25,True
metstab-high,clf,mat_noattention,pr_auc,0.3282531133532817,0.2746693592024702,0.05358375415081151,-0.0036217415595240984,0.11078924986114713,1.8861006627738852,0.0656844800850137,25,25,True
metstab-high,clf,mat_noattention,f1,0.1065771372815978,0.03063564842159248,0.07594148886000532,0.013567703245595433,0.13831527447441522,2.4836723620783667,0.018647170936507758,25,25,True
metstab-high,clf,mat_nodistance,roc_auc,0.7887933342755997,0.7516647373427419,0.03712859693285786,0.005955005148661308,0.06830218871705442,2.398625621365228,0.02064788186698202,25,25,True
metstab-high,clf,mat_nodistance,pr_auc,0.4144779586754331,0.332457580499633,0.0820203781758001,0.026129063537213344,0.13791169281438687,2.9509797341339077,0.004896518419733692,25,25,True
metstab-high,clf,mat_nodistance,f1,0.3187343233872792,0.20208573602124175,0.11664858736603745,0.03514666086493891,0.198150513867136,2.8788447956511463,0.005977514876747762,25,25,True
metstab-high,clf,hybrid,roc_auc,0.8982666413395067,0.850868264574296,0.04739837676521075,0.028585798030621314,0.06621095549980019,5.122693461392199,1.2303014410406495e-05,25,25,True
metstab-high,clf,hybrid,pr_auc,0.5775318384804926,0.47961894107140224,0.09791289740909037,0.05086401057747104,0.1449617842407097,4.229364981718983,0.00016714246175213605,25,25,True
metstab-high,clf,hybrid,f1,0.4619579118676957,0.2975043329714138,0.16445357889628187,0.07778934221352113,0.2511178155790426,3.824603539171053,0.00041016699687784823,25,25,True
metstab-low,clf,gcn,roc_auc,0.8471442877209654,0.7838997819429665,0.0632445057779989,0.04929222661493866,0.07719678494105912,9.206641003564963,7.973014219978454e-11,25,25,True
metstab-low,clf,gcn,pr_auc,0.8597989923914181,0.8073127447777272,0.05248624761369092,0.03665700112020047,0.06831549410718137,6.769365347043289,1.5912613879323406e-07,25,25,True
metstab-low,clf,gcn,f1,0.7769801979508304,0.7241852165782425,0.05279498137258787,0.023401928982311807,0.08218803376286393,3.6124699016839745,0.000730024128352297,25,25,True
metstab-low,clf,mat,roc_auc,0.7647341588409132,0.7430106142324682,0.021723544608445056,-0.012748218070871613,0.056195307287761724,1.2743283188468026,0.21002600916381248,25,25,True
