task,task_type,split,metric,model,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm
metstab-high,clf,scaffold,pr_auc,mat_large_pretrained,mat,0.3094283392467374,0.3628386583892036,5,-0.05341031914246619,-0.08947407564754262,-0.017346562637389755,-4.111907175540038,0.014709227114442159,0.0,0.0625,True,0.014709227114442159,0.125,True,False,True,False
metstab-high,clf,scaffold,pr_auc,mat_large_scratch,mat,0.2707840851865775,0.3628386583892036,5,-0.09205457320262607,-0.12858338958356935,-0.055525756821682794,-6.996790328876889,0.002195900684918374,0.0,0.0625,True,0.004391801369836748,0.125,True,False,True,False
metstab-high,clf,scaffold,f1,mat_large_pretrained,mat,0.08727943720447465,0.23137340720378202,5,-0.14409396999930735,-0.3464753267434601,0.058287386744845404,-1.9768075682922517,0.11923643960139331,3.0,0.3125,True,0.11923643960139331,0.3125,False,False,False,False
metstab-high,clf,scaffold,f1,mat_large_scratch,mat,0.036153846153846134,0.23137340720378202,5,-0.19521956104993587,-0.27924380747272926,-0.11119531462714252,-6.450714142542121,0.0029727465133324513,0.0,0.0625,True,0.0059454930266649025,0.125,True,False,True,False
metstab-low,clf,scaffold,roc_auc,mat_large_pretrained,mat,0.7109647759505362,0.7414641939081849,5,-0.030499417957648545,-0.07383246007719721,0.012833624161900127,-1.954166048768909,0.12237074564566762,2.0,0.1875,True,0.12937623415609345,0.25,False,False,False,False
metstab-low,clf,scaffold,roc_auc,mat_large_scratch,mat,0.6648281491779656,0.7414641939081849,5,-0.07663604473021926,-0.16074847591198416,0.007476386451545622,-2.5296590323626913,0.06468811707804673,1.0,0.125,True,0.12937623415609345,0.25,False,False,False,False
metstab-low,clf,scaffold,pr_auc,mat_large_pretrained,mat,0.731334400086698,0.7510697357697851,5,-0.019735335683087073,-0.08606181228004928,0.046591140913875125,-0.8261267440708913,0.45515865967491054,4.0,0.4375,True,0.45515865967491054,0.4375,False,False,False,False
metstab-low,clf,scaffold,pr_auc,mat_large_scratch,mat,0.676284658679306,0.7510697357697851,5,-0.07478507709047914,-0.17099343796449784,0.02142328378353954,-2.158197679945857,0.09708499656138037,2.0,0.1875,True,0.19416999312276073,0.375,False,False,False,False
metstab-low,clf,scaffold,f1,mat_large_pretrained,mat,0.6860951090454971,0.7066790903753413,5,-0.020583981329844313,-0.05224916168359886,0.011081199023910235,-1.8048308448037242,0.14541881424853903,1.0,0.125,True,0.29083762849707806,0.25,False,False,False,False
metstab-low,clf,scaffold,f1,mat_large_scratch,mat,0.690797070332535,0.7066790903753413,5,-0.01588202004280619,-0.05110194509360949,0.01933790500799711,-1.2520059808445518,0.2787806614301356,3.0,0.3125,True,0.29083762849707806,0.3125,False,False,False,False
